,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Busselton,-33.65,115.3333,61.05,66,100,9.28,AU,1633658142
1,Hilo,19.7297,-155.09,79.29,83,98,3.0,US,1633658260
2,Rikitea,-23.1203,-134.9692,73.85,74,34,9.31,PF,1633658261
3,Salekhard,66.53,66.6019,45.1,81,100,23.13,RU,1633658262
4,Tasiilaq,65.6145,-37.6368,24.01,53,19,8.9,GL,1633658264
5,Upernavik,72.7868,-56.1549,25.0,46,12,4.18,GL,1633658265
6,Sobolevo,54.4299,31.8996,33.93,72,0,3.09,RU,1633658266
7,Vaini,-21.2,-175.2,82.56,78,20,4.61,TO,1633658139
8,Kutum,14.2,24.6667,73.09,24,59,7.09,SD,1633658270
9,Hobart,-42.8794,147.3294,68.05,46,40,4.0,AU,1633658271
10,Medicine Hat,50.0501,-110.6683,52.23,44,20,1.99,CA,1633658118
11,Nikolskoye,59.7035,30.7861,51.4,67,100,7.05,RU,1633658274
12,Yueyang,29.3333,113.0919,62.15,79,100,11.39,CN,1633658276
13,Castro,-24.7911,-50.0119,54.7,98,100,7.43,BR,1633658172
14,Los Llanos de Aridane,28.6585,-17.9182,69.55,83,75,10.36,ES,1633658279
15,Ca Mau,9.1769,105.15,80.65,88,100,7.96,VN,1633658280
16,Ancud,-41.8697,-73.8203,47.43,90,1,3.98,CL,1633658281
17,Kaitangata,-46.2817,169.8464,57.79,65,87,9.15,NZ,1633658283
18,Hermanus,-34.4187,19.2345,56.89,75,0,7.56,ZA,1633658284
19,Jumla,29.2747,82.1838,60.06,77,73,2.51,NP,1633658285
20,Kotelnikowo,47.6317,43.1461,38.19,56,0,13.51,RU,1633658288
21,Saint-Philippe,-21.3585,55.7679,65.79,79,21,8.63,RE,1633658289
22,Peciu Nou,45.6064,21.0578,54.27,55,100,7.72,RO,1633658290
23,Waddān,29.1614,16.139,73.65,23,0,5.08,LY,1633658292
24,São João da Barra,-21.6403,-41.0511,71.06,88,100,18.48,BR,1633658002
25,Port Augusta,-32.5,137.7667,73.71,18,0,10.63,AU,1633658294
26,Ushuaia,-54.8,-68.3,47.86,37,40,8.05,AR,1633658066
27,Punta Arenas,-53.15,-70.9167,46.51,53,0,18.41,CL,1633658296
28,Iralaya,15.0,-83.2333,80.49,86,100,10.31,HN,1633658019
29,Nampa,43.5407,-116.5635,64.65,53,1,0.0,US,1633658299
30,Arraial do Cabo,-22.9661,-42.0278,69.19,76,100,18.86,BR,1633658155
31,Mattru,7.6244,-11.8332,73.6,97,33,2.89,SL,1633658302
32,Atambua,-9.1061,124.8925,87.85,44,26,2.84,ID,1633658304
33,Norman Wells,65.282,-126.8329,28.44,93,75,4.61,CA,1633658200
34,Santa Rosa,14.3122,121.1114,88.11,70,94,0.85,PH,1633658307
35,Jamestown,42.097,-79.2353,66.29,91,98,1.99,US,1633658309
36,Lompoc,34.6391,-120.4579,64.56,83,90,1.99,US,1633658310
37,Richards Bay,-28.783,32.0377,66.97,81,100,18.95,ZA,1633658311
38,Cape Town,-33.9258,18.4232,59.09,63,75,16.11,ZA,1633658100
39,Mataura,-46.1927,168.8643,56.48,59,100,5.91,NZ,1633658315
40,Moerai,-22.4333,-151.3333,75.65,73,43,2.39,PF,1633658045
41,Esperance,-33.8667,121.9,60.64,57,91,16.69,AU,1633658317
42,Kyra,49.5776,111.9753,40.41,91,100,1.19,RU,1633658319
43,Wundanyi,-3.4019,38.364,60.48,82,51,5.7,KE,1633658320
44,Nuuk,64.1835,-51.7216,31.87,48,0,13.0,GL,1633658321
45,Huaraz,-9.5333,-77.5333,53.53,89,99,3.11,PE,1633658323
46,Yellowknife,62.456,-114.3525,37.42,99,75,3.44,CA,1633658325
47,Vardø,70.3705,31.1107,40.6,75,60,29.91,NO,1633658140
48,Tuktoyaktuk,69.4541,-133.0374,32.0,80,20,5.75,CA,1633658328
49,Khatanga,71.9667,102.5,20.01,96,100,7.38,RU,1633658329
50,Zabaykal'sk,49.6333,117.3167,45.95,50,100,10.58,RU,1633658330
51,Bathsheba,13.2167,-59.5167,83.01,83,20,24.16,BB,1633658332
52,Albany,42.6001,-73.9662,61.41,93,44,1.32,US,1633658333
53,Plátanos,37.6667,21.6167,66.56,90,100,5.53,GR,1633658334
54,Fortuna,40.5982,-124.1573,53.94,54,26,1.99,US,1633658154
55,Hithadhoo,-0.6,73.0833,82.99,67,99,9.37,MV,1633658337
56,Clyde River,70.4692,-68.5914,30.67,86,100,3.27,CA,1633658158
57,Port Alfred,-33.5906,26.891,67.05,71,100,11.79,ZA,1633658137
58,Bethel,41.3712,-73.414,62.82,91,25,0.09,US,1633658149
59,Bluff,-46.6,168.3333,56.8,75,100,15.28,NZ,1633658341
60,Talnakh,69.4865,88.3972,33.06,100,100,4.63,RU,1633658219
61,Saskylakh,71.9167,114.0833,1.94,96,80,5.28,RU,1633658344
62,Airai,-8.9266,125.4092,81.61,26,31,5.28,TL,1633658345
63,Suksun,57.1431,57.3949,32.63,81,13,7.38,RU,1633658347
64,Faanui,-16.4833,-151.75,79.05,72,6,7.2,PF,1633658164
65,Chokurdakh,70.6333,147.9167,17.58,84,100,7.18,RU,1633658349
66,Kapaa,22.0752,-159.319,82.38,71,41,3.0,US,1633658335
67,Ayan,56.45,138.1667,44.85,37,8,10.09,RU,1633658352
68,Ringwood,41.1134,-74.2454,66.38,91,3,1.1,US,1633658161
69,Tanga,-5.0667,39.1,76.59,82,97,5.37,TZ,1633658354
70,Avarua,-21.2078,-159.775,78.85,69,75,5.75,CK,1633658185
71,Umluj,25.0213,37.2685,82.62,47,1,11.27,SA,1633658356
72,Grindavik,63.8424,-22.4338,49.89,93,90,23.02,IS,1633658358
73,Santander,43.4647,-3.8044,60.46,84,0,5.99,ES,1633658359
74,Alofi,-19.0595,-169.9187,82.29,74,75,13.8,NU,1633658360
75,Porto-Novo,6.4965,2.6036,80.42,85,71,2.42,BJ,1633658362
76,Cabo San Lucas,22.8909,-109.9124,87.1,71,0,4.27,MX,1633658363
77,Nanortalik,60.1432,-45.2371,38.41,63,100,3.09,GL,1633658364
78,Evensk,61.95,159.2333,29.14,43,61,1.95,RU,1633658366
79,Puerto Ayora,-0.7393,-90.3518,68.56,95,98,8.99,EC,1633658367
80,East London,-33.0153,27.9116,66.6,93,100,12.06,ZA,1633658368
81,Châtellerault,46.8,0.5333,47.12,1,65,6.6,FR,1633658370
82,Guerrero Negro,27.9769,-114.0611,70.66,75,97,18.66,MX,1633658371
83,Abidjan,5.3094,-4.0197,76.96,94,20,0.0,CI,1633658372
84,Teacapan,22.55,-105.75,83.82,80,27,8.28,MX,1633658374
85,Marsh Harbour,26.5412,-77.0636,82.62,70,77,11.18,BS,1633658375
86,Aksarka,66.5606,67.7975,44.78,84,100,20.98,RU,1633658376
87,Katsuura,35.1333,140.3,75.31,76,50,11.95,JP,1633658378
88,Grand Gaube,-20.0064,57.6608,68.4,84,98,1.99,MU,1633658379
89,Torbay,47.6666,-52.7314,50.76,86,75,5.75,CA,1633658382
90,Sidrolândia,-20.9319,-54.9614,72.39,92,86,4.03,BR,1633658383
91,Butaritari,3.0707,172.7902,82.83,66,15,13.62,KI,1633658384
92,Pedernales,18.0384,-71.744,81.97,70,0,1.86,DO,1633658386
93,Rocha,-34.4833,-54.3333,40.87,87,3,2.44,UY,1633658192
94,Hong Kong,22.2855,114.1577,78.94,96,100,1.99,HK,1633658343
95,Sinnamary,5.3833,-52.95,80.71,79,28,11.39,GF,1633658392
96,São Félix do Xingu,-6.6447,-51.995,77.58,62,7,1.3,BR,1633658393
97,Angoche,-16.2325,39.9086,74.84,54,100,12.59,MZ,1633658394
98,Pisco,-13.7,-76.2167,62.02,88,0,20.71,PE,1633658206
99,Hofn,64.2539,-15.2082,49.3,96,100,21.9,IS,1633658397
100,Kruisfontein,-34.0033,24.7314,63.88,56,100,11.45,ZA,1633658398
101,Punta de Bombón,-17.1717,-71.7931,62.24,87,91,6.31,PE,1633658400
102,Boddam,57.4667,-1.7833,63.09,97,100,15.95,GB,1633658401
103,Saint Paul Harbor,57.79,-152.4072,46.44,81,100,6.42,US,1633658404
104,Caranavi,-15.8167,-67.55,65.03,97,100,1.66,BO,1633658407
105,Havelock,34.8791,-76.9013,73.35,95,66,1.01,US,1633658410
106,Severo-Kuril'sk,50.6789,156.125,48.4,75,100,18.75,RU,1633658411
107,Novopavlovka,51.2172,109.2091,41.77,49,100,1.95,RU,1633658414
108,Ola,59.5833,151.2833,33.19,47,10,3.91,RU,1633658416
109,San Jerónimo,-11.9472,-75.2829,53.15,68,64,2.98,PE,1633658418
110,Laela,-8.5667,32.05,61.74,69,6,3.85,TZ,1633658420
111,Honningsvåg,70.9821,25.9704,41.41,66,97,26.64,NO,1633658421
112,Maceió,-9.6658,-35.7353,78.24,88,75,2.3,BR,1633658411
113,Gimli,50.6336,-96.9907,69.82,64,100,4.61,CA,1633658368
114,Adavere,58.7086,25.8994,39.99,74,100,5.64,EE,1633658425
115,Ostrovnoy,68.0531,39.5131,38.8,86,100,25.17,RU,1633658426
116,Flinders,-34.5833,150.8552,71.8,64,65,12.33,AU,1633658428
117,Kavieng,-2.5744,150.7967,84.02,68,83,3.38,PG,1633658429
118,Denpasar,-8.65,115.2167,80.26,74,40,5.75,ID,1633658146
